frameNo, fps, batches, triangles, vertices, shadowCasters, renderTextureChanges, frameTime, renderTime, renderTextureCount, renderTextureBytes, usedTextureMemorySize, usedTextureCount, screenRes, screenBytes, vboTotal, vboTotalBytes, vboUploads, vboUploadBytes, ibUploads, ibUploadBytes, visibleSkinnedMeshes, drawCalls
42,57.3042928887273,105,76152,76542,84,34,0.0022347,0.0005918,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,152
43,64.3074428848236,105,76152,76542,84,34,0.0019239,0.0005344,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,152
44,54.2734945997525,105,76152,76542,84,34,0.0022903,0.0006862,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,152
45,65.1410624295463,105,76152,76542,84,34,0.0015558,0.0005534,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,152
46,61.7303027236853,105,76156,76554,84,34,0.0019729,0.0005591,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,152
47,59.0269980962789,105,76156,76554,84,34,0.0020199,0.0007329,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,152
48,60.4551069203509,105,76156,76554,84,34,0.0016135,0.0005796,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,152
49,57.8161656468508,105,76156,76554,84,34,0.0018074,0.0006154,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,152
50,59.0301328376395,105,76156,76554,84,34,0.0018261,0.0006497,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,152
51,60.1301242036023,105,76156,76554,84,34,0.0016418,0.0005737,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,152
52,57.1892645385938,105,76156,76554,84,34,0.0018637,0.0005372,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,152
53,67.5780712193644,105,76156,76554,84,34,0.0019534,0.0006098,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,152
54,58.1868931175992,105,76156,76554,84,34,0.0017538,0.0006093,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,152
55,54.3363068276069,105,76156,76554,84,34,0.0026816,0.0005893,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,152
56,63.8109164297944,105,76156,76554,84,34,0.0022671,0.0005692,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,152
57,54.7531179811578,105,76156,76554,84,34,0.0021876,0.0006834,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,152
58,64.7676783932595,105,76156,76554,84,34,0.0016813,0.000602,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,152
59,63.6205191260586,105,76156,76554,84,34,0.0016684,0.0005406,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,152
60,58.9726959968013,105,76156,76554,84,34,0.0018269,0.000571,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,152
61,64.7546753985481,105,76156,76554,84,34,0.002993,0.0006742001,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,152
62,55.6882772885009,105,76156,76554,84,34,0.0019667,0.0005741,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,152
63,58.3246788899829,105,76156,76554,84,34,0.0022191,0.0005661,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,152
64,63.6184911492748,105,76156,76554,84,34,0.0022224,0.0005405,34,289786030,0,0,1920x1080,24883200,0,0,10,110368,10,9132,2,152
